model,k,param,train,cv
SVM,40,"C=10, ker=sigmoid",0.795,0.714
SVM,40,"C=30, ker=linear",0.974,0.661
SVM,40,"C=30, ker=poly",0.949,0.664
SVM,40,"C=30, ker=rbf",1.0,0.743
SVM,40,"C=30, ker=sigmoid",0.795,0.693
SVM,40,"C=100, ker=linear",0.974,0.611
SVM,40,"C=100, ker=poly",1.0,0.664
SVM,40,"C=100, ker=rbf",1.0,0.718
SVM,40,"C=100, ker=sigmoid",0.846,0.668
LogReg,50,-,0.923,0.661
MLP,50,"h=10, act=logistic",1.0,0.743
MLP,50,"h=10, act=tanh",1.0,0.764
MLP,50,"h=10, act=relu",1.0,0.793
MLP,50,"h=5, act=logistic",0.923,0.821
MLP,50,"h=5, act=tanh",1.0,0.764
MLP,50,"h=5, act=relu",0.974,0.689
MLP,50,"h=3, act=logistic",0.872,0.796
MLP,50,"h=3, act=tanh",0.974,0.686
MLP,50,"h=3, act=relu",0.974,0.743
SVM,50,"C=0.01, ker=linear",0.769,0.643
SVM,50,"C=0.01, ker=poly",0.692,0.668
SVM,50,"C=0.01, ker=rbf",0.667,0.668
SVM,50,"C=0.01, ker=sigmoid",0.667,0.668
SVM,50,"C=0.03, ker=linear",0.795,0.696
SVM,50,"C=0.03, ker=poly",0.692,0.668
SVM,50,"C=0.03, ker=rbf",0.667,0.668
SVM,50,"C=0.03, ker=sigmoid",0.667,0.668
SVM,50,"C=0.1, ker=linear",0.821,0.718
SVM,50,"C=0.1, ker=poly",0.692,0.668
SVM,50,"C=0.1, ker=rbf",0.667,0.668
SVM,50,"C=0.1, ker=sigmoid",0.667,0.668
SVM,50,"C=0.3, ker=linear",0.897,0.739
SVM,50,"C=0.3, ker=poly",0.692,0.643
SVM,50,"C=0.3, ker=rbf",0.667,0.643
SVM,50,"C=0.3, ker=sigmoid",0.667,0.643
SVM,50,"C=1, ker=linear",0.949,0.714
SVM,50,"C=1, ker=poly",0.744,0.618
SVM,50,"C=1, ker=rbf",0.872,0.7
SVM,50,"C=1, ker=sigmoid",0.821,0.746
SVM,50,"C=3, ker=linear",0.974,0.686
SVM,50,"C=3, ker=poly",0.795,0.589
SVM,50,"C=3, ker=rbf",0.923,0.8
SVM,50,"C=3, ker=sigmoid",0.744,0.775
SVM,50,"C=10, ker=linear",0.974,0.661
SVM,50,"C=10, ker=poly",0.846,0.639
SVM,50,"C=10, ker=rbf",0.974,0.743
SVM,50,"C=10, ker=sigmoid",0.846,0.664
SVM,50,"C=30, ker=linear",0.974,0.636
SVM,50,"C=30, ker=poly",0.974,0.664
SVM,50,"C=30, ker=rbf",1.0,0.743
SVM,50,"C=30, ker=sigmoid",0.846,0.639
SVM,50,"C=100, ker=linear",0.974,0.611
SVM,50,"C=100, ker=poly",1.0,0.689
SVM,50,"C=100, ker=rbf",1.0,0.668
SVM,50,"C=100, ker=sigmoid",0.846,0.689
