model,k,param,train,cv
MLP,40,"h=15,relu",1.0,0.768
MLP,40,"h=15,logistic",1.0,0.793
SVM,40,"C=0.1,linear",0.821,0.796
SVM,40,"C=0.1,rbf",0.667,0.668
SVM,40,"C=1,linear",0.923,0.714
SVM,40,"C=1,rbf",0.897,0.775
SVM,40,"C=10,linear",0.974,0.636
SVM,40,"C=10,rbf",1.0,0.743
DT,40,d=3,0.897,0.668
DT,40,d=5,1.0,0.696
DT,40,d=None,1.0,0.696
RF,40,"n=16,d=3",0.974,0.75
RF,40,"n=16,d=5",1.0,0.725
RF,40,"n=16,d=None",1.0,0.725
XGB,40,"d=15,lr=0.05",0.974,0.693
XGB,40,"d=15,lr=0.1",1.0,0.668
XGB,40,"d=17,lr=0.05",0.974,0.693
XGB,40,"d=17,lr=0.1",1.0,0.668
CatBoost,40,"d=1,lr=0.05",0.974,0.721
CatBoost,40,"d=1,lr=0.1",1.0,0.696
CatBoost,40,"d=15,lr=0.05",1.0,0.821
CatBoost,40,"d=15,lr=0.1",1.0,0.718
LogReg,45,-,0.923,0.661
MLP,45,"h=4,relu",0.974,0.671
MLP,45,"h=4,logistic",0.923,0.796
MLP,45,"h=15,relu",1.0,0.768
MLP,45,"h=15,logistic",1.0,0.718
SVM,45,"C=0.1,linear",0.821,0.718
SVM,45,"C=0.1,rbf",0.667,0.668
SVM,45,"C=1,linear",0.949,0.714
SVM,45,"C=1,rbf",0.872,0.75
SVM,45,"C=10,linear",0.974,0.661
SVM,45,"C=10,rbf",1.0,0.743
DT,45,d=3,0.897,0.693
DT,45,d=5,1.0,0.664
DT,45,d=None,1.0,0.664
RF,45,"n=16,d=3",1.0,0.671
RF,45,"n=16,d=5",1.0,0.7
RF,45,"n=16,d=None",1.0,0.646
XGB,45,"d=15,lr=0.05",0.974,0.693
XGB,45,"d=15,lr=0.1",1.0,0.668
XGB,45,"d=17,lr=0.05",0.974,0.693
XGB,45,"d=17,lr=0.1",1.0,0.668
CatBoost,45,"d=1,lr=0.05",0.949,0.721
CatBoost,45,"d=1,lr=0.1",1.0,0.696
CatBoost,45,"d=15,lr=0.05",1.0,0.771
CatBoost,45,"d=15,lr=0.1",1.0,0.821
LogReg,50,-,0.923,0.661
MLP,50,"h=4,relu",0.974,0.771
